keyword,202303,tot_cnt
banks,17,17
hotelification,1,1
cbres,1,1
offices,5,5
refinance,1,1
inflation,14,14
sector,33,33
sustainable,10,10
pensions,5,5
property,2,2
downturn,2,2
commute,1,1
hybrid,1,1
england,2,2
pandemic,6,6
peak,2,2
recovery,9,9
developers,1,1
silicon,28,28
brewing,1,1
phoenix,2,2
percentage,3,3
simon,1,1
commonplace,1,1
look,5,5
backdrop,2,2
goonetilleke,1,1
volatile,4,4
index,20,20
limit,5,5
outlook,8,8
nuwan,1,1
deepen,1,1
tuesday,4,4
skip,2,2
brakes,1,1
requirements,8,8
cbres london,1,1
investors fear,1,1
rates quarter,1,1
mean recovery,1,1
recession,12,12
risk,7,7
bonds,14,14
svb,10,10
fewer,3,3
nervous,2,2
uninsured,2,2
worst,3,3
todays,2,2
systemic,4,4
us1,1,1
difficulties,1,1
eyes,3,3
flips,1,1
longterm,17,17
boomer,1,1
weeks,8,8
hefty,1,1
prices,4,4
janet,1,1
average,15,15
agenda,2,2
bears,1,1
hikes,9,9
republic,2,2
couple,3,3
banks vulnerable,1,1
half trillion,1,1
eyes deutsche,1,1
duration shorter,1,1
prices start,1,1
banking,13,13
liquidity,12,12
basel,1,1
suisse,9,9
db,1,1
shares,8,8
stability,12,12
quarters,2,2
pension,2,2
selloffs,1,1
geoeconomics,1,1
assess,3,3
statements,2,2
severity,2,2
drop,2,2
ratio,3,3
divisiveness,1,1
crystallize,1,1
deal,4,4
signature,7,7
largest,14,14
consecutive,2,2
central,4,4
ready,2,2
navigate,4,4
communicate,1,1
deutsche bank,1,1
shares lost,1,1
coverage ratio,1,1
persisted prompt,1,1
political divisiveness,1,1
crises,2,2
lehman,1,1
mortgages,1,1
reuters,18,18
capital,15,15
risktaking,1,1
bust,2,2
march,16,16
gfc,2,2
debacle,1,1
deregulation,2,2
worse,1,1
sezerillustration,1,1
worlds,3,3
stay,3,3
swift,2,2
duration,1,1
spain,1,1
counterparties,1,1
pundits,1,1
paul,1,1
axa,1,1
principles,8,8
absorb,1,1
highlights,5,5
bias,2,2
common,6,6
meaning,3,3
echo,1,1
banking crises,2,2
weeks months,1,1
led slower,1,1
firefighting measures,1,1
ebrd,1,1
financing,4,4
emissions,4,4
geff,1,1
renewable,3,3
kzt,1,1
climate,8,8
green,4,4
vendors,1,1
opportunities,5,5
institutions,5,5
technical,2,2
annual,2,2
rural,3,3
